States/UTs,Hit and Run - Total Accdents,Hit and Run - Persons Killed,Hit and Run - Persons Injured - Greviously Injured,Hit and Run - Persons Injured - Minor Injury,With Parked Vehicle - Total Accdents,With Parked Vehicle - Persons Killed,With Parked Vehicle - Persons Injured - Greviously Injured,With Parked Vehicle - Persons Injured - Minor Injury,Hit from Back - Total Accdents,Hit from Back - Persons Killed,Hit from Back - Persons Injured - Greviously Injured,Hit from Back - Persons Injured - Minor Injury,Hit from side - Total Accdents,Hit from side - Persons Killed,Hit from side - Persons Injured - Greviously Injured,Hit from side - Persons Injured - Minor Injury,Run Off Road - Total Accdents,Run Off Road - Persons Killed,Run Off Road - Persons Injured - Greviously Injured,Run Off Road - Persons Injured - Minor Injury,Fixed Object - Total Accdents,Fixed Object - Persons Killed,Fixed Object - Persons Injured - Greviously Injured,Fixed Object - Persons Injured - Minor Injury,Vehicle Overturn - Total Accdents,Vehicle Overturn - Persons Killed,Vehicle Overturn - Persons Injured - Greviously Injured,Vehicle Overturn - Persons Injured - Minor Injury,Head on Collision - Total Accdents,Head on Collision - Persons Killed,Head on Collision - Persons Injured - Greviously Injured,Head on Collision - Persons Injured - Minor Injury,Others - Total Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury
Andhra Pradesh,1196.0,515.0,253.0,640.0,727.0,303.0,147.0,584.0,4623.0,1320.0,1233.0,3578.0,2482.0,718.0,748.0,1665.0,691.0,260.0,327.0,336.0,920.0,383.0,232.0,688.0,1374.0,557.0,524.0,972.0,4927.0,1879.0,984.0,4352.0,2569.0,1104.0,340.0,2072.0
Arunachal Pradesh,7.0,3.0,5.0,2.0,17.0,10.0,14.0,9.0,22.0,7.0,12.0,8.0,19.0,6.0,9.0,7.0,14.0,5.0,11.0,9.0,15.0,9.0,14.0,10.0,14.0,8.0,9.0,6.0,17.0,18.0,30.0,19.0,9.0,7.0,5.0,6.0
Assam,1235.0,484.0,875.0,123.0,400.0,117.0,300.0,36.0,1475.0,622.0,1026.0,100.0,833.0,338.0,545.0,73.0,291.0,91.0,227.0,18.0,285.0,113.0,209.0,17.0,612.0,214.0,422.0,46.0,770.0,347.0,554.0,67.0,694.0,303.0,544.0,87.0
Bihar,774.0,651.0,506.0,6.0,218.0,196.0,221.0,2.0,715.0,531.0,654.0,30.0,874.0,653.0,759.0,32.0,364.0,296.0,267.0,9.0,359.0,114.0,143.0,3.0,781.0,579.0,593.0,26.0,3523.0,2867.0,2890.0,105.0,1031.0,812.0,754.0,16.0
Chhattisgarh,1539.0,814.0,193.0,972.0,277.0,88.0,40.0,200.0,2212.0,646.0,278.0,1761.0,1483.0,389.0,191.0,1241.0,1258.0,489.0,221.0,973.0,626.0,313.0,38.0,381.0,365.0,210.0,50.0,370.0,1929.0,717.0,391.0,1448.0,1967.0,940.0,269.0,1488.0
Goa,36.0,7.0,7.0,8.0,20.0,4.0,0.0,1.0,583.0,54.0,49.0,169.0,619.0,49.0,56.0,261.0,195.0,19.0,4.0,35.0,100.0,18.0,11.0,18.0,22.0,1.0,0.0,2.0,639.0,55.0,74.0,146.0,161.0,16.0,1.0,38.0
Gujarat,1552.0,995.0,656.0,325.0,575.0,276.0,280.0,215.0,4336.0,1672.0,2444.0,1661.0,2798.0,1100.0,1529.0,1086.0,936.0,403.0,498.0,300.0,440.0,242.0,239.0,154.0,827.0,504.0,474.0,300.0,1628.0,796.0,931.0,635.0,306.0,182.0,140.0,135.0
Haryana,2386.0,1074.0,324.0,1370.0,273.0,113.0,34.0,181.0,720.0,314.0,132.0,427.0,596.0,305.0,119.0,346.0,222.0,101.0,49.0,133.0,210.0,80.0,44.0,92.0,447.0,244.0,89.0,175.0,958.0,411.0,174.0,556.0,3619.0,1865.0,1272.0,2142.0
Himachal Pradesh,411.0,97.0,175.0,233.0,58.0,7.0,19.0,34.0,106.0,38.0,54.0,67.0,183.0,33.0,99.0,162.0,537.0,446.0,196.0,732.0,89.0,41.0,37.0,80.0,99.0,41.0,33.0,151.0,437.0,89.0,274.0,526.0,319.0,101.0,164.0,187.0
Jammu and Kashmir,337.0,42.0,524.0,250.0,19.0,0.0,40.0,13.0,152.0,14.0,270.0,104.0,129.0,24.0,105.0,125.0,429.0,125.0,702.0,413.0,13.0,4.0,25.0,30.0,170.0,60.0,203.0,93.0,185.0,24.0,190.0,170.0,3426.0,435.0,1318.0,1319.0
Jharkhand,800.0,593.0,308.0,76.0,161.0,99.0,101.0,41.0,595.0,408.0,258.0,94.0,498.0,315.0,231.0,75.0,349.0,241.0,205.0,95.0,193.0,108.0,125.0,29.0,310.0,211.0,184.0,59.0,600.0,428.0,338.0,78.0,899.0,641.0,777.0,221.0
Karnataka,2193.0,822.0,1031.0,755.0,934.0,268.0,628.0,690.0,9024.0,2368.0,4956.0,5336.0,5704.0,1447.0,2792.0,3726.0,1554.0,465.0,858.0,1279.0,1284.0,379.0,579.0,880.0,981.0,233.0,550.0,632.0,8842.0,2546.0,4778.0,6020.0,3662.0,1232.0,1770.0,2232.0
Kerala,1118.0,92.0,909.0,340.0,213.0,46.0,125.0,60.0,3661.0,231.0,2918.0,1232.0,4976.0,290.0,4165.0,1602.0,207.0,52.0,151.0,64.0,355.0,100.0,170.0,194.0,395.0,78.0,330.0,156.0,4404.0,482.0,3783.0,1575.0,12548.0,1608.0,9673.0,3063.0
Madhya Pradesh,11550.0,3232.0,1338.0,11397.0,1225.0,256.0,167.0,952.0,8171.0,1796.0,1406.0,6842.0,4667.0,841.0,456.0,4011.0,1621.0,453.0,184.0,1485.0,1215.0,327.0,170.0,1056.0,2248.0,738.0,370.0,2466.0,10198.0,2464.0,1506.0,8142.0,4371.0,1034.0,429.0,4079.0
Maharashtra,6049.0,3160.0,3148.0,1230.0,520.0,250.0,305.0,128.0,6535.0,2773.0,3665.0,1536.0,4440.0,1693.0,2730.0,1027.0,1435.0,762.0,706.0,399.0,553.0,267.0,271.0,168.0,1009.0,555.0,514.0,238.0,4319.0,2040.0,2579.0,1193.0,111.0,69.0,53.0,24.0
Manipur,20.0,13.0,16.0,1.0,4.0,0.0,2.0,3.0,123.0,25.0,35.0,124.0,100.0,18.0,23.0,130.0,10.0,10.0,17.0,8.0,9.0,7.0,4.0,4.0,32.0,5.0,7.0,38.0,107.0,29.0,62.0,136.0,27.0,20.0,50.0,3.0
Meghalaya,47.0,40.0,11.0,4.0,15.0,10.0,8.0,34.0,23.0,13.0,12.0,1.0,23.0,7.0,15.0,2.0,11.0,6.0,13.0,10.0,6.0,4.0,0.0,1.0,12.0,12.0,23.0,18.0,41.0,23.0,39.0,7.0,36.0,29.0,16.0,6.0
Mizoram,11.0,9.0,6.0,8.0,10.0,6.0,3.0,9.0,5.0,4.0,2.0,8.0,10.0,6.0,4.0,7.0,13.0,9.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,7.0,1.0,2.0,0.0,0.0
Nagaland,29.0,10.0,9.0,12.0,30.0,2.0,5.0,15.0,83.0,2.0,7.0,30.0,73.0,7.0,12.0,45.0,113.0,12.0,25.0,31.0,17.0,6.0,3.0,4.0,1.0,1.0,1.0,1.0,127.0,6.0,21.0,41.0,27.0,7.0,9.0,15.0
Orissa,1737.0,907.0,902.0,405.0,722.0,253.0,364.0,229.0,1694.0,803.0,842.0,410.0,882.0,332.0,492.0,381.0,346.0,165.0,217.0,199.0,644.0,353.0,314.0,273.0,867.0,455.0,529.0,444.0,1904.0,996.0,1101.0,760.0,1021.0,474.0,473.0,487.0
Punjab,1238.0,958.0,397.0,272.0,249.0,199.0,80.0,54.0,937.0,679.0,292.0,271.0,709.0,473.0,280.0,193.0,274.0,214.0,67.0,52.0,140.0,126.0,44.0,18.0,688.0,517.0,227.0,126.0,699.0,519.0,258.0,142.0,269.0,213.0,92.0,39.0
Rajasthan,4650.0,2401.0,1453.0,2621.0,499.0,219.0,158.0,342.0,4182.0,1846.0,939.0,2679.0,2344.0,958.0,620.0,1470.0,301.0,163.0,112.0,199.0,130.0,76.0,18.0,75.0,947.0,470.0,162.0,776.0,3579.0,1945.0,667.0,2356.0,2482.0,1172.0,675.0,1447.0
Sikkim,13.0,4.0,9.0,10.0,11.0,3.0,7.0,8.0,18.0,5.0,5.0,11.0,13.0,3.0,5.0,6.0,53.0,19.0,38.0,56.0,9.0,3.0,9.0,12.0,10.0,5.0,11.0,13.0,11.0,5.0,7.0,11.0,0.0,0.0,0.0,0.0
Tamil Nadu,3140.0,747.0,289.0,2565.0,1418.0,237.0,191.0,1403.0,11024.0,1835.0,823.0,11616.0,6118.0,1041.0,628.0,6373.0,2300.0,350.0,427.0,2244.0,2241.0,327.0,259.0,2299.0,2507.0,420.0,210.0,2609.0,13627.0,2186.0,763.0,14948.0,3109.0,916.0,128.0,2776.0
Telangana,2041.0,655.0,86.0,1546.0,250.0,109.0,9.0,217.0,4544.0,1361.0,558.0,3935.0,1849.0,584.0,290.0,1506.0,398.0,240.0,34.0,365.0,523.0,272.0,42.0,354.0,1071.0,672.0,58.0,885.0,5303.0,1874.0,983.0,4738.0,3193.0,1115.0,265.0,2790.0
Tripura,149.0,60.0,134.0,4.0,6.0,3.0,7.0,0.0,139.0,61.0,112.0,1.0,87.0,31.0,76.0,1.0,1.0,0.0,3.0,0.0,6.0,2.0,8.0,0.0,14.0,12.0,31.0,0.0,64.0,23.0,88.0,5.0,0.0,0.0,0.0,0.0
Uttarakhand,115.0,78.0,49.0,5.0,13.0,6.0,10.0,4.0,251.0,150.0,139.0,36.0,195.0,98.0,125.0,42.0,104.0,111.0,127.0,27.0,4.0,0.0,0.0,0.0,6.0,7.0,3.0,4.0,269.0,164.0,166.0,61.0,84.0,60.0,50.0,6.0
Uttar Pradesh,5823.0,3334.0,2397.0,1380.0,2008.0,1087.0,875.0,561.0,4038.0,2226.0,1650.0,998.0,3545.0,1948.0,1500.0,880.0,3828.0,2138.0,1408.0,828.0,1953.0,1066.0,856.0,516.0,2973.0,1658.0,1249.0,704.0,3195.0,1847.0,1433.0,741.0,6880.0,3845.0,2701.0,1733.0
West Bengal,694.0,717.0,126.0,5.0,108.0,59.0,134.0,29.0,2027.0,959.0,1679.0,293.0,818.0,291.0,898.0,124.0,201.0,99.0,255.0,61.0,431.0,266.0,471.0,104.0,150.0,86.0,267.0,34.0,1021.0,430.0,1281.0,204.0,3730.0,2020.0,2219.0,130.0
Andaman and Nicobar Island,16.0,2.0,14.0,7.0,7.0,0.0,0.0,1.0,18.0,2.0,10.0,12.0,19.0,0.0,8.0,11.0,8.0,0.0,2.0,13.0,10.0,2.0,1.0,9.0,29.0,2.0,4.0,16.0,33.0,5.0,16.0,20.0,1.0,1.0,0.0,1.0
Chandigarh,31.0,14.0,2.0,18.0,1.0,0.0,0.0,0.0,30.0,13.0,1.0,28.0,60.0,17.0,7.0,47.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,6.0,2.0,0.0,0.0,4.0,32.0,7.0,4.0,31.0,0.0,0.0,0.0,0.0
Dadra and Nagar Haveli,30.0,21.0,15.0,3.0,4.0,2.0,1.0,2.0,17.0,10.0,12.0,6.0,19.0,10.0,11.0,9.0,2.0,2.0,0.0,0.0,4.0,3.0,1.0,0.0,8.0,8.0,10.0,28.0,13.0,7.0,12.0,7.0,3.0,1.0,0.0,2.0
Delhi,1445.0,586.0,51.0,943.0,97.0,15.0,6.0,84.0,649.0,162.0,32.0,563.0,625.0,210.0,13.0,490.0,101.0,27.0,29.0,66.0,81.0,20.0,9.0,63.0,193.0,45.0,19.0,153.0,110.0,33.0,8.0,92.0,877.0,98.0,45.0,996.0
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,36.0,22.0,14.0,21.0,7.0,0.0,2.0,5.0,307.0,39.0,65.0,251.0,219.0,36.0,36.0,154.0,43.0,9.0,34.0,21.0,14.0,6.0,2.0,9.0,47.0,3.0,35.0,97.0,229.0,21.0,91.0,141.0,67.0,9.0,31.0,10.0
Total,52448.0,23159.0,16232.0,27557.0,11096.0,4243.0,4283.0,6146.0,73039.0,22989.0,26570.0,44218.0,48010.0,14271.0,19577.0,27311.0,18210.0,7782.0,7417.0,10468.0,12882.0,5039.0,4348.0,7547.0,19211.0,8611.0,7191.0,11642.0,73743.0,25289.0,26479.0,49480.0,57499.0,20331.0,24263.0,27550.0
