States/UTs,Pedestrian - Male,Pedestrian - Female,Pedestrian - Total,Bicycles - Male,Bicycles - Female,Bicycles - Total,Two Wheelers - Male,Two Wheelers - Female,Two Wheelers - Total,Auto Rickshaws - Male,Auto Rickshaws - Female,Auto Rickshaws - Total,"Cars, taxies Vans andLMV - Male","Cars, taxies Vans andLMV - Female","Cars, taxies Vans andLMV - Total",Trucks/Lorries - Male,Trucks/Lorries - Female,Trucks/Lorries - Total,Buses - Male,Buses - Female,Buses - Total,Other non  Motor vehicles(E-Rickshaw) - Male,Other non  Motor vehicles(E-Rickshaw) - Female,Other non  Motor vehicles(E-Rickshaw) - Total,Others - Male,Others - Female,Others - Total
Andhra Pradesh,986.0,286.0,1272,133.0,4.0,137,3207.0,507.0,3714,423.0,136.0,559,452.0,101.0,553,364.0,34.0,398,56.0,7.0,63,19.0,3.0,22,269.0,52.0,321
Arunachal Pradesh,1.0,1.0,2,0.0,0.0,0,24.0,10.0,34,6.0,1.0,7,12.0,5.0,17,2.0,0.0,2,3.0,2.0,5,0.0,0.0,0,4.0,2.0,6
Assam,511.0,107.0,618,151.0,15.0,166,707.0,107.0,814,80.0,28.0,108,387.0,70.0,457,184.0,5.0,189,71.0,22.0,93,93.0,12.0,105,70.0,9.0,79
Bihar,2176.0,473.0,2649,296.0,43.0,339,2039.0,348.0,2387,239.0,70.0,309,296.0,51.0,347,108.0,15.0,123,33.0,5.0,38,36.0,4.0,40,387.0,80.0,467
Chhattisgarh,469.0,106.0,575,129.0,8.0,137,2600.0,294.0,2894,30.0,11.0,41,262.0,43.0,305,181.0,4.0,185,20.0,3.0,23,21.0,7.0,28,373.0,45.0,418
Goa,22.0,7.0,29,2.0,0.0,2,148.0,20.0,168,1.0,0.0,1,10.0,1.0,11,3.0,0.0,3,2.0,0.0,2,0.0,0.0,0,7.0,0.0,7
Gujarat,1000.0,199.0,1199,85.0,2.0,87,2585.0,304.0,2889,240.0,50.0,290,834.0,139.0,973,477.0,51.0,528,44.0,12.0,56,58.0,7.0,65,72.0,11.0,83
Haryana,600.0,58.0,658,90.0,1.0,91,1687.0,105.0,1792,158.0,10.0,168,553.0,121.0,674,364.0,10.0,374,141.0,13.0,154,33.0,4.0,37,553.0,6.0,559
Himachal Pradesh,110.0,35.0,145,6.0,0.0,6,192.0,19.0,211,0.0,0.0,0,355.0,54.0,409,60.0,4.0,64,9.0,4.0,13,0.0,0.0,0,43.0,2.0,45
Jammu and Kashmir,68.0,33.0,101,12.0,0.0,12,170.0,22.0,192,11.0,0.0,11,159.0,33.0,192,76.0,6.0,82,18.0,0.0,18,1.0,0.0,1,116.0,3.0,119
Jharkhand,230.0,37.0,267,123.0,0.0,123,879.0,112.0,991,150.0,16.0,166,300.0,23.0,323,404.0,10.0,414,113.0,19.0,132,150.0,9.0,159,439.0,30.0,469
Karnataka,1333.0,259.0,1592,72.0,1.0,73,4662.0,509.0,5171,271.0,52.0,323,1303.0,230.0,1533,513.0,22.0,535,129.0,33.0,162,20.0,2.0,22,317.0,32.0,349
Kerala,578.0,160.0,738,79.0,1.0,80,1495.0,209.0,1704,112.0,24.0,136,174.0,43.0,217,43.0,0.0,43,15.0,6.0,21,2.0,0.0,2,34.0,4.0,38
Madhya Pradesh,1207.0,305.0,1512,130.0,24.0,154,4705.0,736.0,5441,257.0,46.0,303,1264.0,259.0,1523,845.0,77.0,922,241.0,51.0,292,107.0,11.0,118,755.0,121.0,876
Maharashtra,1842.0,372.0,2214,167.0,5.0,172,5322.0,546.0,5868,238.0,33.0,271,1391.0,185.0,1576,543.0,18.0,561,99.0,7.0,106,24.0,1.0,25,707.0,69.0,776
Manipur,21.0,5.0,26,5.0,0.0,5,39.0,9.0,48,2.0,1.0,3,17.0,3.0,20,18.0,0.0,18,0.0,0.0,0,1.0,0.0,1,6.0,0.0,6
Meghalaya,34.0,9.0,43,2.0,0.0,2,28.0,3.0,31,2.0,0.0,2,32.0,1.0,33,29.0,0.0,29,2.0,0.0,2,1.0,0.0,1,1.0,0.0,1
Mizoram,3.0,2.0,5,0.0,0.0,0,20.0,1.0,21,0.0,0.0,0,6.0,3.0,9,6.0,0.0,6,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0
Nagaland,9.0,2.0,11,2.0,0.0,2,12.0,0.0,12,1.0,0.0,1,15.0,3.0,18,8.0,1.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Orissa,532.0,100.0,632,176.0,7.0,183,2315.0,199.0,2514,130.0,27.0,157,359.0,55.0,414,356.0,4.0,360,57.0,12.0,69,28.0,5.0,33,342.0,34.0,376
Punjab,383.0,70.0,453,232.0,5.0,237,1489.0,209.0,1698,127.0,22.0,149,771.0,146.0,917,235.0,6.0,241,60.0,2.0,62,12.0,0.0,12,129.0,0.0,129
Rajasthan,901.0,165.0,1066,44.0,0.0,44,2711.0,341.0,3052,103.0,11.0,114,1882.0,298.0,2180,1275.0,82.0,1357,244.0,37.0,281,1069.0,87.0,1156,0.0,0.0,0
Sikkim,3.0,2.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,28.0,11.0,39,3.0,0.0,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Tamil Nadu,1115.0,425.0,1540,379.0,52.0,431,3705.0,544.0,4249,138.0,36.0,174,749.0,182.0,931,343.0,25.0,368,121.0,19.0,140,11.0,0.0,11,183.0,32.0,215
Telangana,903.0,245.0,1148,63.0,0.0,63,3105.0,364.0,3469,272.0,70.0,342,552.0,106.0,658,416.0,41.0,457,72.0,12.0,84,124.0,1.0,125,469.0,67.0,536
Tripura,42.0,9.0,51,9.0,0.0,9,83.0,5.0,88,6.0,2.0,8,14.0,3.0,17,9.0,1.0,10,3.0,0.0,3,2.0,0.0,2,3.0,1.0,4
Uttarakhand,121.0,26.0,147,33.0,0.0,33,315.0,37.0,352,5.0,1.0,6,80.0,19.0,99,24.0,0.0,24,1.0,0.0,1,4.0,0.0,4,8.0,0.0,8
Uttar Pradesh,1411.0,263.0,1674,997.0,126.0,1123,5575.0,818.0,6393,1192.0,190.0,1382,2556.0,415.0,2971,1601.0,179.0,1780,885.0,173.0,1058,1134.0,184.0,1318,1297.0,153.0,1450
West Bengal,2068.0,458.0,2526,376.0,15.0,391,483.0,14.0,497,32.0,11.0,43,553.0,56.0,609,662.0,69.0,731,94.0,20.0,114,4.0,5.0,9,7.0,0.0,7
Andaman and Nicobar Island,1.0,2.0,3,1.0,0.0,1,8.0,0.0,8,0.0,0.0,0,1.0,0.0,1,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Chandigarh,9.0,3.0,12,10.0,0.0,10,20.0,3.0,23,0.0,0.0,0,2.0,1.0,3,1.0,0.0,1,0.0,0.0,0,4.0,0.0,4,0.0,0.0,0
Dadra and Nagar Haveli,16.0,2.0,18,3.0,0.0,3,36.0,1.0,37,0.0,0.0,0,3.0,0.0,3,2.0,0.0,2,0.0,0.0,0,1.0,0.0,1,0.0,0.0,0
Delhi,441.0,64.0,505,45.0,3.0,48,413.0,28.0,441,11.0,1.0,12,52.0,1.0,53,3.0,0.0,3,3.0,0.0,3,11.0,0.0,11,112.0,8.0,120
Lakshadweep,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Puducherry,38.0,9.0,47,3.0,0.0,3,73.0,6.0,79,0.0,0.0,0,9.0,1.0,10,1.0,0.0,1,5.0,0.0,5,0.0,0.0,0,0.0,0.0,0
Total,19184.0,4299.0,23483,3855.0,312.0,4167,50852.0,6430.0,57282,4237.0,849.0,5086,15433.0,2662.0,18095,9160.0,664.0,9824,2542.0,459.0,3001,2970.0,342.0,3312,6703.0,761.0,7464
